sim,time
mcf_4,59304961250
mcf_8,54699306875
mcf_16,53203425625
mcf_32,53007419375
libquantum_4,114541337500
libquantum_8,113975003125
libquantum_16,72454190625
libquantum_32,59026213125
bitmnp01_4,68040186250
bitmnp01_8,57862358750
bitmnp01_16,56024376250
bitmnp01_32,56107798125
a2time01_4,38917814375
a2time01_8,38904545625
a2time01_16,38901415625
a2time01_32,38901231875
